interval_start_local	interval_end_local	solar	wind	geothermal	biomass	biogas	small_hydro	coal	nuclear	natural_gas	large_hydro	batteries	imports	other
2024-07-01 00:00:00-03:00	2024-07-01 00:05:00-03:00	527	4211	776	259	187	305	0	2273	11579	3550	7110	4040	0
2024-07-01 00:05:00-03:00	2024-07-01 00:10:00-03:00	405	4191	776	262	187	304	0	2274	11968	3615	6731	3932	0
2024-07-01 00:10:00-03:00	2024-07-01 00:15:00-03:00	321	4173	776	262	187	302	0	2274	12176	3601	6466	3942	0
2024-07-01 00:15:00-03:00	2024-07-01 00:20:00-03:00	276	4098	776	263	187	303	0	2274	12238	3628	6367	3960	0
2024-07-01 00:20:00-03:00	2024-07-01 00:25:00-03:00	249	4051	775	261	187	304	0	2274	12089	3656	6429	4000	0
2024-07-01 00:25:00-03:00	2024-07-01 00:30:00-03:00	243	4066	775	260	188	303	0	2274	11992	3686	6360	4053	0
2024-07-01 00:30:00-03:00	2024-07-01 00:35:00-03:00	228	4058	776	260	188	302	0	2275	11984	3695	6317	4026	0
2024-07-01 00:35:00-03:00	2024-07-01 00:40:00-03:00	219	4012	776	260	187	302	0	2274	12018	3703	6286	3967	0
2024-07-01 00:40:00-03:00	2024-07-01 00:45:00-03:00	219	3977	774	260	187	303	0	2274	12069	3701	6226	3922	0
2024-07-01 00:45:00-03:00	2024-07-01 00:50:00-03:00	220	3963	776	262	187	303	0	2275	12115	3631	6170	3868	0
2024-07-01 00:50:00-03:00	2024-07-01 00:55:00-03:00	220	3939	774	262	187	303	0	2275	12130	3615	6049	3892	0
2024-07-01 00:55:00-03:00	2024-07-01 01:00:00-03:00	221	3940	777	262	187	302	0	2275	12143	3611	5954	3826	0
2024-07-01 01:00:00-03:00	2024-07-01 01:05:00-03:00	223	3940	776	261	187	302	0	2273	12142	3541	5854	3884	0
2024-07-01 01:05:00-03:00	2024-07-01 01:10:00-03:00	223	3958	777	263	187	302	0	2273	11937	3478	5814	4158	0
2024-07-01 01:10:00-03:00	2024-07-01 01:15:00-03:00	224	3999	777	261	187	303	0	2274	11858	3507	5681	4285	0
2024-07-01 01:15:00-03:00	2024-07-01 01:20:00-03:00	226	4050	777	261	187	304	0	2274	11835	3506	5403	4381	0
2024-07-01 01:20:00-03:00	2024-07-01 01:25:00-03:00	226	4088	777	262	187	306	0	2274	11741	3493	5172	4603	0
2024-07-01 01:25:00-03:00	2024-07-01 01:30:00-03:00	226	4081	777	261	187	305	0	2274	11739	3457	5054	4634	0
2024-07-01 01:30:00-03:00	2024-07-01 01:35:00-03:00	225	4089	778	259	188	303	0	2275	11788	3435	5048	4471	0
2024-07-01 01:35:00-03:00	2024-07-01 01:40:00-03:00	226	4079	778	259	188	303	0	2275	11734	3428	4812	4621	0
2024-07-01 01:40:00-03:00	2024-07-01 01:45:00-03:00	226	4086	775	259	188	303	0	2274	11670	3425	4543	4792	0
2024-07-01 01:45:00-03:00	2024-07-01 01:50:00-03:00	225	4090	776	257	189	303	0	2274	11664	3380	4375	4865	0
